Item #,Title,Image URL,Description,Characters,Character-centric,Type,Tags,Price ($),Series,Number of Items,Discount,Collaboration
30070,"Badtz-maru 7"" Plush (I Love Me Series)",https://www.sanrio.com/cdn/shop/files/zz-2504300659_XO_--1_800x.jpg?v=1744855290,"In honor of the 40th Anniversary Sanrio Character Ranking Awards, your favorite characters join in on the fun with a mini-me version of themselves! An expressive thought bubble and a winking expression show the sheer joy and excitement when hugging a pint-sized version tightly!",Badtz-maru,Badtz-maru,Plush,"plush, 7'' plush, embroidered, black",44,I Love Me,Single,0,None
486183,Badtz-maru Mascot Badge Keychain (Sanrio Character Award Series),https://www.sanrio.com/cdn/shop/files/zz-2504485543_XO_--1_800x.jpg?v=1744303385,"Celebrating 40 years of this fan-favorite contest, the Sanrio Character Ranking Awards is one of the most anticipated events of the year! These kawaii embroidered mascot keychains spell out the name of your #1 character and easily spruce up your purse, tote, or set of keys.",Badtz-maru,Badtz-maru,Accessory,"accessory, badge, keychain, embroidered, black",5.99,Sanrio Character Award,Single,0,None
175064,Badtz-maru Mini Mascot Keychain (Sanrio Character Award Series),https://www.sanrio.com/cdn/shop/files/original_0429f9a3-8292-4a1b-bbe9-e8451b89d0cc_800x.jpg?v=1749847169,"I’ll adore you with all my heart! Clip this adorable plush mascot to a bag or tote and even use it as decor. The colorful clip attachment is shaped like a heart, sure to bring a smile every time you catch a glance!",Badtz-maru,Badtz-maru,Accessory,"accessory, plush keychain, keychain, black",14.99,Sanrio Character Award,Single,0,None
619744,Badtz-maru Customizable Keychain (Sanrio Character Award Series),https://www.sanrio.com/cdn/shop/files/zz-2504619507_XO_--2_800x.jpg?v=1744855690,"Celebrating 40 years of this fan-favorite contest, the Sanrio Character Ranking Awards is one of the most anticipated events of the year! These kawaii mascot keychains are customizable and easily spruce up your purse, tote, or set of keys.",Badtz-maru,Badtz-maru,Accessory,"accessory, keychain, stickers, customizable, resin, pvc, black, blue, yellow",10.99,Sanrio Character Award,Multiple,4,None
CNS0132,Hello Kitty and Friends BLDR Building Set (Badtz-maru’s Bowling Alley),https://www.sanrio.com/cdn/shop/files/CNS01321_800x.jpg?v=1757539643,"Get ready to unleash your competitive spirit as you step through the opening double doors of the extra large Badtz-maru inspired building into a vibrant bowling paradise! The interior is packed with irresistibly fun details—a shining league trophy, a cozy lounge area, and a jukebox “playing” all your favorite tunes!","Badtz-maru, Hello Kitty, Melody, Keroppi, Chococat",None,Toys&Games,"toys, building set, playset, set, bldr bricks",49.99,Badtz-maru’s Bowling Alley,Multiple,0,None
896641,Badtz-maru Plush Mascot Keychain (Sparkling School Series),https://www.sanrio.com/cdn/shop/files/original_1_6358a0f9-77fd-4a88-8467-08347d7e41e1_800x.jpg?v=1747850583,"Celebrate the joy of school life with the Sparkling School Series! Its whimsical doodle design on these mini charms featuring your favorite Sanrio Characters is irresistibly cute and sure to put you in a studious vibe. Enjoy matching totes, accessories, and plush mascots, embellished with bows, hearts, stars, and more!",Badtz-maru,Badtz-maru,Accessory,"accessory, plush keychain, keychain, embroidered, black, blue",28,Sparkling School,Single,0,None
320404,"Badtz-maru 9"" Plush (Balloon Kids Series)",https://www.sanrio.com/cdn/shop/files/zz-2503320226_XO_--1_800x.jpg?v=1749164614,"The popular 90's series Balloon Kids has now been re-released and features a nod to 90s retro parachute “swishy” fabric and bold color pops, sure to spread joy amongst our biggest fans! Collect all of your faves and enjoy a little dose of Sanrio nostalgia!",Badtz-maru,Badtz-maru,Plush,"plush, 9'' plush, nylon, embroidered, black",36,Balloon Kids,Single,0,None
615285,Badtz-maru 2-Way Easy Tote,https://www.sanrio.com/cdn/shop/files/zz-2505615145_XO_--2_800x.jpg?v=1748572199,"This mini tote bag offers two fun ways to carry it and lets you personalize with your favorite Sanrio charms and mascots! With its simple design, it pairs easily with any outfit. Carry it your way—by hand or over your shoulder, for a playful and practical style!",Badtz-maru,Badtz-maru,Bags,"bag, tote bag, mini tote bag, embroidered, cotton, poly, steel, black",28,None,Single,4,None
732788,"Badtz-maru 8"" Plush (Hapidanbui Boy Band Series)",https://www.sanrio.com/cdn/shop/files/732788-Zoom.1_800x.jpg?v=1750273146,"Join the Hapidanbui, a quirky Sanrio boy band consisting of six lovable members - Badtz-Maru, Tuxedosam, Pochacco, Hangyodon, Keroppi, and Pekkle. These delightful cuties will serenade and groove their way into your heart, while also spreading joy and happiness wherever they go! Let the kawaii vibes of Hapidanbui brighten your day and the world!",Badtz-maru,Badtz-maru,Plush,"plush, 8'' plush, embroidered, black, blue, purple",50.2,Hapidanbui Boy Band,Single,0,None
745812,"Badtz-maru 9"" Plush (Gaming Series)",https://www.sanrio.com/cdn/shop/files/original_5f8a9b85-27ec-4d73-a42e-bf8984fad273_800x.jpg?v=1743214935,"Ready, set, game! Put on your headset and get comfy while Badtz-maru joins in on your gaming sesh. Gaming runs in the family (Did you know his dad loves to play pinball?) and this series features plush and mini mascots keychains, made for fans of this mischievous little penguin!",Badtz-maru,Badtz-maru,Plush,"plush, 9'' plush, embroidered, black, red",38,Gaming,Single,18,None
